Rate Sex Female,Rate Sex Male,Rate Age 1-4,Rate Age 5-14,Rate Age 15-24,Rate Age 25-34,Rate Age 35-44,Rate Age 45-54,Rate Age 55-64,Rate Age 75-84,Rate Age 85 plus,Date,COVID count
19.38571429,21.3,,1.2,13.3,15.9,16.4,19.3,17.6,17.1,20.2,01/01/17,0
21.68571429,23.9,,1.4,15.2,17.9,18.1,21.4,20.6,18.6,19.9,01/04/17,0
21.68571429,24.3,,1.1,14.6,19.3,19.7,20.8,19.7,19.3,21.3,01/07/17,0
19.71428571,22.3,,1.3,14.7,17,17.5,19.3,18.2,16.9,18.9,01/10/17,0
19.71428571,22.6,,1.6,15.1,16.6,16.9,19.1,19.2,17.8,17.6,01/01/18,0
22.34285714,24,,1.5,14.4,18,19.3,21.1,21,18.4,19,01/04/18,0
21.68571429,24.9,,1.2,14.3,18.5,20,21.5,21.7,20.3,20.9,01/07/18,0
20.04285714,22.1,,1.6,13.9,17.1,16.7,18.5,18.9,18.4,18.8,01/10/18,0
20.04285714,22.4,,1.5,13.7,16.8,17.3,19.5,19.4,17.6,18.9,01/01/19,0
20.7,23.5,,1.4,14.1,18.1,17.9,20.4,19.9,19.4,20.3,01/04/19,0
21.02857143,24.3,,1.1,13.9,18.2,20.3,19.7,20.3,20.4,22.5,01/07/19,0
19.05714286,22,,1.3,14.1,17.3,16.7,18.8,18.1,17.2,18.7,01/10/19,0
18.4,22.9,,1.5,13.9,18.1,17.2,18.6,18.2,18.6,19.9,01/01/20,1208
18.07142857,22,,1.2,13.2,17.5,17.2,17.6,16.5,18.8,21.6,01/04/20,1044210
19.05714286,23.9,,1.4,15.4,19.2,18.3,19,17.7,19.5,21.3,01/07/20,3969264
18.72857143,21.3,,1.8,14.4,18.6,16.7,16.5,15,16.7,20.1,01/10/20,7008742
,,,,,,,,,,,,
